ID;createdAt;createdBy;category;title;content;sourceRef
06000000-0000-4000-8000-000000000001;2026-07-16T09:00:00+0200;curator;Policy;Three Bids Policy;Purchases over 10,000 EUR require three competitive quotes before award.;POL-001
06000000-0000-4000-8000-000000000002;2026-07-16T09:00:00+0200;curator;MaterialGroupCatalog;Laboratory Instruments Group;Microscopes, centrifuges, spectrometers, incubators and analytical balances map to material group MG-LAB-001.;MG-LAB-001
06000000-0000-4000-8000-000000000003;2026-07-16T09:00:00+0200;curator;CommodityTaxonomy;UNSPSC 41100000;Laboratory and scientific equipment commodity family 41100000.;41100000
06000000-0000-4000-8000-000000000004;2026-07-16T09:00:00+0200;curator;SupplierProfile;Zeiss Instruments;Zeiss supplies optical and laboratory instruments and is preferred for microscopy.;SUP-ZEISS
06000000-0000-4000-8000-000000000005;2026-07-16T09:00:00+0200;curator;PastProject;2025 Lab Refresh;Prior lab refresh sourced 8 microscopes and 3 centrifuges at High priority with a 10 week lead time.;PP-2025-LAB
06000000-0000-4000-8000-000000000006;2026-07-16T09:00:00+0200;curator;MaterialGroupCatalog;Lab Consumables and PPE Group;Centrifuge tubes, pipette tips, cryogenic vials, lab coats, gloves and other single-use disposables and personal protective equipment map to material group MG-LAB-002.;MG-LAB-002
06000000-0000-4000-8000-000000000007;2026-07-16T09:00:00+0200;curator;CommodityTaxonomy;UNSPSC 42130000;Medical and laboratory consumables and supplies commodity family 42130000 covers disposable tubes, tips, vials, and protective clothing.;42130000
06000000-0000-4000-8000-000000000008;2026-07-16T09:00:00+0200;curator;MaterialGroupCatalog;Office Furniture and Supplies Group;Desks, chairs, filing cabinets, stationery and general office supplies map to material group MG-OFF-001.;MG-OFF-001
06000000-0000-4000-8000-000000000009;2026-07-16T09:00:00+0200;curator;CommodityTaxonomy;UNSPSC 44100000;Office machines, accessories and their supplies commodity family 44100000 covers printers, shredders and paper products.;44100000
06000000-0000-4000-8000-00000000000a;2026-07-16T09:00:00+0200;curator;MaterialGroupCatalog;IT Hardware Group;Laptops, desktops, monitors, servers and networking equipment map to material group MG-IT-001.;MG-IT-001
06000000-0000-4000-8000-00000000000b;2026-07-16T09:00:00+0200;curator;CommodityTaxonomy;UNSPSC 43210000;Computer equipment and accessories commodity family 43210000 covers laptops, desktops, monitors and peripherals.;43210000
06000000-0000-4000-8000-00000000000c;2026-07-16T09:00:00+0200;curator;SupplierProfile;Fisher Scientific;Fisher Scientific supplies laboratory consumables, reagents, tubes, pipette tips and personal protective equipment and is preferred for lab disposables.;SUP-FISHER
06000000-0000-4000-8000-00000000000d;2026-07-16T09:00:00+0200;curator;SupplierProfile;Dell Technologies;Dell Technologies supplies laptops, desktops, monitors and servers and is preferred for IT hardware procurement.;SUP-DELL
06000000-0000-4000-8000-00000000000e;2026-07-16T09:00:00+0200;curator;Policy;PPE Safety Standard;Personal protective equipment such as lab coats and gloves must meet EN safety standards and be sourced from approved suppliers.;POL-002
06000000-0000-4000-8000-00000000000f;2026-07-16T09:00:00+0200;curator;PastProject;2025 Consumables Restock;Prior quarterly restock sourced centrifuge tubes, pipette tips and cryogenic vials from Fisher Scientific at Medium priority with a 3 week lead time.;PP-2025-CONS
06000000-0000-4000-8000-000000000010;2026-07-16T09:00:00+0200;curator;MaterialGroupCatalog;Lab Chemicals and Reagents Group;Solvents, buffers, staining reagents, assay kits and analytical standards map to material group MG-LAB-003.;MG-LAB-003
06000000-0000-4000-8000-000000000011;2026-07-16T09:00:00+0200;curator;MaterialGroupCatalog;Cold Storage and Cryogenics Group;Laboratory refrigerators, ultra-low freezers, cryogenic tanks and liquid nitrogen dewars map to material group MG-LAB-004.;MG-LAB-004
06000000-0000-4000-8000-000000000012;2026-07-16T09:00:00+0200;curator;MaterialGroupCatalog;IT Peripherals and Accessories Group;Keyboards, mice, docking stations, headsets, webcams and cables map to material group MG-IT-002.;MG-IT-002
06000000-0000-4000-8000-000000000013;2026-07-16T09:00:00+0200;curator;MaterialGroupCatalog;Software and Licenses Group;Software subscriptions, per-seat licenses, SaaS renewals and maintenance contracts map to material group MG-IT-003.;MG-IT-003
06000000-0000-4000-8000-000000000014;2026-07-16T09:00:00+0200;curator;MaterialGroupCatalog;Network and Datacenter Equipment Group;Switches, routers, firewalls, racks and uninterruptible power supplies map to material group MG-IT-004.;MG-IT-004
06000000-0000-4000-8000-000000000015;2026-07-16T09:00:00+0200;curator;MaterialGroupCatalog;Safety and Protective Equipment Group;Safety goggles, protective footwear, hard hats, hearing protection and respirators map to material group MG-SAF-001.;MG-SAF-001
06000000-0000-4000-8000-00000000002c;2026-07-16T09:00:00+0200;curator;MaterialGroupCatalog;Printing and Stationery Group;Printer paper, toner cartridges, notebooks, pens and general stationery map to material group MG-OFF-002.;MG-OFF-002
06000000-0000-4000-8000-00000000002d;2026-07-16T09:00:00+0200;curator;MaterialGroupCatalog;Facility Maintenance Services Group;Building repair, HVAC servicing, electrical work and grounds maintenance map to material group MG-FAC-001.;MG-FAC-001
06000000-0000-4000-8000-00000000002e;2026-07-16T09:00:00+0200;curator;MaterialGroupCatalog;Cleaning and Janitorial Supplies Group;Detergents, disinfectants, paper towels, waste bags and cleaning equipment map to material group MG-FAC-002.;MG-FAC-002
